metadata/name,metadata/manufacturer,metadata/part_numbers/0,metadata/part_numbers/1,metadata/part_numbers/2,metadata/part_numbers/3,metadata/part_numbers/4,general_product_information/hyte_sku,metadata/part_numbers/5,metadata/part_numbers/6,metadata/part_numbers/7,metadata/part_numbers/8,metadata/series,metadata/variant,metadata/releaseYear,metadata/last_manually_spec_verified_at,connection_types/0,connection_types/1,ear_pad_material/0,features/0,platforms/0,platforms/1,platforms/2,use_cases/0,use_cases/1,driver_size,frequency_response_low,frequency_response_high,headphone_type,ear_cup_type,weight,has_microphone,microphone_type,frame_material
Logitech G435 Headset,Logitech G,981-001073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDR-J10 Closed Earbud Headphones,Sony,MDR-J10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha EPH-C500-BL In-Ear Closed-Back Wired Headphones,Yamaha,EPH-C500-BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKG K514 MKII ,AKG,K514 MKII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy S2FFDM-083 In-Ear With Microphone Headphones,Skullcandy,S2FFDM-083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDRAS200BL Closed-Back Wired Earbud Headphones,Sony,MDRAS200BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koss SB45 Closed Headphones,Koss,SB45,SB45-USB,SB45 USB-178203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser GSP 303 Closed Gaming Headset,Sennheiser,507244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDR-ZX300 Closed Black Headphones,Sony,MDR-ZX300,BLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser OCX880 In-Ear Closed Headphones,Sennheiser,OCX880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mad Catz TRIAX180 Closed Headphones,Mad Catz,TRIAX180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony INZONE H7 Open-Back Gaming Headset,Sony,WHG700,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsair HS80 RGB 7.1 Channel Closed Gaming Headset,Corsair,CA-9011237-NA                                                    CA-9011237-EU                                                    CA-9011237-AP,CA-9011237-NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser HD 238 Closed Headphones,Sennheiser,HD238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsair HS80 RGB Gaming Headset Ethereal Blue,Corsair,CA-901123B-NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zalman ZM-DS4FBlack Closed Headphones,Zalman,ZM-DS4FBlack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-A700X Closed-Back Black / Blue Headphones,Audio-Technica,ATH-A700X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser Century SC 660 Closed Headphones,Sennheiser,A9596861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gigabyte Aorus H1 7.1 Channel Closed Gaming Headset,Gigabyte,AORUS-H1                                                    GP-AORUS-H1,AORUS H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsair VOID RGB ELITE 7.1 Channel Closed Gaming Headset,Corsair,CA-9011203-NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative Labs Sound BlasterX H3 Closed Black / Red Headphones,Creative Labs,Sound BlasterX H3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries Arctis Nova 5 Closed Gaming Headset,SteelSeries,61670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anker Soundcore Life Q35 Headset,Soundcore,A3027,A3027031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy S2INCZ-058 Closed In-Ear Headphones,Skullcandy,S2INCZ-058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCA HP59MIC In Ear Closed With Microphone Headset,RCA,HP59MIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus ROG Strix Go Electro Punk Closed 7.1 Channel Gaming Headset,ASUS,ROG STRIX GO 2.4 EP                                                    90YH02P1-B3UA00,90YH02P1-B3UA00,ROG STRIX GO 2.4 EP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bose 717534-0010 In-Ear Closed Headset with Microphone,Bose,717534-0010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cobra E-Blue Cobra Limited Edition Pro Closed Gaming Headset,Cobra,greenearphone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus ROG Delta Core Headset,ASUS,ROG DELTA CORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAMDIAS HEPHAESTUS 7.1 Channel Gaming Headset,GAMDIAS,GHS2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inland 87070 Closed-Back Headphones,Inland,87070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech Ultimate Ears 200vi Closed In-Ear Headphones with Microphone,Logitech,985-000431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razer Tiamat 7.1 7.1 Channel Gaming Headset,Razer,RZ04-00600100-R3U1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony XBA4 Closed In-Ear Headphones,Sony,XBA4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syba OG-AUD63078 Closed-Back Gaming Headset,Syba,OG-AUD63078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDR1R ,Sony,MDR1R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries 5Hv3 Closed-Back Gaming Headset,SteelSeries,61031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-SR50BT Closed-Back Wireless Headphones,Audio-Technica,ATH-SR50BTBW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser MOMENTUM 4 Closed-Back Headphones,Sennheiser,700384                                                    MOMENTUM 4 Pride                                                    M4AEBT Pride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razer Barracuda X Closed 7.1 Channel Wireless Gaming Headset,Razer,RZ04-04430300-R3U1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koss CS95USB ,Koss,184060                                                    CS95 USB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips SHE3575BK/28 Closed-Back In-Ear Headphones (Pink),Philips,SHE3575BK,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audiovox RCA-WHP141B Closed Black Headphones,Audiovox,RCA-WHP141B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKG K840 KL Closed-Back Wired Headphones,AKG,K840 KL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyerdynamic MMX 100 Closed Headphones,Beyerdynamic,BEYDMMX100BK                                                    MMX 100 Black                                                    729914                                                    BD-729914                                                    745553                                                    BD-MMX100-BK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser PXC 450 Closed Headphones,Sennheiser,PXC  450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tempest GHS300 RGB 7.1 Channel Closed-Back Gaming Headset,Tempest,TP-GHS-300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audiovox 808-HPA88WHG Wired Headphones Closed-Back White,Audiovox,808-HPA88WHG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syba CL-AUD63036 Closed Headphones,Syba,CL-AUD63036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries Arctis Nova 3 Gaming Headset,SteelSeries,61631,Arctis Nova 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-AD700X Open-Back Headphones,Audio-Technica,ATH-AD700X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-HJE280-A Closed In-Ear Headphones in Black / Blue,Panasonic,RP-HJE280-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser CX280 In-Ear Closed Headphones,Sennheiser,CX280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koss CS-100 Closed Headphones,Koss,CS-100,CS100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooler Master MH751 Closed Headphones in Black / Silver,Cooler Master,MH-751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooler Master CH351 Closed-Back Gaming Headset,Cooler Master,CH-351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDR DS6500 Wireless Closed-Back Headphones,Accessory USA,MDRDS6500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turtle Beach Titanfall Ear Force Atlas Closed Gaming Headset,Turtle Beach,7.31855E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razer Kraken Neon Closed-Back Gaming Headset,Razer,RZ12-00870100-R3U1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries Flux Closed Headphones,SteelSeries,61283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony CZ-MDREX10LP/VLT Purple Closed In-Ear Headphones,Sony,CZ-MDREX10LP,VLT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony WH-1000XM6 Closed-Back Headphones,Sony,WH-1000XM6,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sades SA-708 Headset,SADES,FBA_708 GT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDR AS200O Closed Earbud Black / Orange,Sony,MDRAS200O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser GSP 670 7.1 Channel Closed Gaming Headset,Sennheiser,GSP 670,1000233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsair HS35 Headset,Corsair,CA-9011197-NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final E2000C Closed-Back Wired Earbuds,final,FI-E2DALC,E2000C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razer Electra V2 USB 7.1 Channel Closed-Back Wired Headset,Razer,RZ04-02220100-R3U1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries Arctis 3 (2019) Headset,SteelSeries,61506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feenix Aria Closed-Back Headphones,Feenix,Aria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser HD 25-SP II Closed-Back Headphones,Sennheiser,HD 25-SP II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razer Thresher For PS4 7.1 Channel Closed Gaming Headset,Razer,RZ04-02580100-R3U1                                                    RZ04-02580100-R3G1                                                    RZ04-02580100-R3A1                                                    RZ04-02580100-R3M1,RZ04-02580100-R3U1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer Predator Galea 350 7.1 Channel Closed Gaming Headset,acer,NP.HDS11.00C                                                    PHW920,PHW920,NP.HDS11.00C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GALAX HOF Maestro Matte White 7.1 Channel Closed-Back Gaming Headset,GALAX,HGH015CSRGBW1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razer Kraken Pro Neon Closed-Back Gaming Headset,Razer,RZ04-00871200-R3M1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries Arctis Pro Wireless Headset,SteelSeries,61474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKG K702 Open-Back Headphones,AKG,K702,k702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha EPH-50 Closed In Ear Headphones,Yamaha,EPH-50 Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony XBA1VP In-Ear Headset,Sony,XBA1VP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JBL Quantum 800 Headset,JBL,JBLQUANTUM800BLKAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MW600 Closed-Back Earbud With Microphone,Sony,1243-9840.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy S2SBDY-210 In-Ear Headset With Microphone,Skullcandy,S2SBDY-210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-M50 Wired Closed-Back Headphones,Audio-Technica,ATH-M50,U8200BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser HD 660 S Open-Back Headphones,Sennheiser,HD 660 S                                                    508826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy Hesh 2 Closed Headphones,Skullcandy,S6HSFZ-319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP HyperX Cloud Stinger Core Closed-Back Gaming Headset,HP,4P4F4AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final B1 Closed-Back In-Ear Headphones in Copper / Black,final,FI-B1BDSSD,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shure SE215 Closed Translucent Black In Ear,Shure,70700002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antec 761345740005 Closed In-Ear Headphones,Antec,7.61346E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries Arctis 1 Destiny Edition Closed Gaming Headset,SteelSeries,61378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shure SE535CLEAR Closed-Back In-Ear Headphones,Shure,SE535CLEAR,SE535-CL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosewill RHTS-12007 Closed In-Ear Headphones,Rosewill,RHTS-12007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer Nitro Closed-Back Gaming Headset,acer,NP.HDS1A.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denon AH-W150PK Closed Pink Earbud,Denon,AH-W150PK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-M50x Closed-Back Headphones White,Audio-Technica,ATH-M50xWH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips X3/00 Open-Back Headphones,Philips,X3,00,X3/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDR-EX10LP/DBL In-Ear Headphones,Sony,MDR-EX10LP,DBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser CX 686G Closed Green Earbud,Sennheiser,CX 686G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final B3 In Ear,final,B3,FI-B3B2SSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries Arctis 5 7.1 Channel Wired Gaming Headset (2019),SteelSeries,ARCTIS 5                                                    61504,61504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKG K K142HD Headphones Closed-Back Wired Headphones,AKG,K142HD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser CX 215 Closed In-Ear Headphones,Sennheiser,CX 215 Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-HT227 Closed Headphones,Panasonic,1.63121E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyerdynamic DTX 101 iE Closed In-Ear Headphones,Beyerdynamic,714054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus ROG Strix Go Core 7.1 Channel Closed-Back Gaming Headset,ASUS,90YH02R1-B1UA00                                                    ROG STRIX GO CORE,ROG Strix GO Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantronics GameCom 780 Wired Gaming Headset (Dota 2 badged) 7.1 Channel,Plantronics,86051-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denon AH-W150BU Closed In-Ear Headphones,Denon,AHW150BU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser PC 323D Closed 7.1 Channel Gaming Headset,Sennheiser,PC323D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser MX270 Closed Earbud Headphones,Sennheiser,MX270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips SHE3595PK/28 Closed In-Ear Headphones with Microphone,Philips,SHE3595PK,28,SHE3595PK/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shure SRH750DJ Closed-Back Headphones,Shure,SRH750DJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech G430 7.1 Channel Closed-Back Gaming Headset,Logitech,981-000536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDR-XD200 Closed-Back Headphones,Sony,MDR-XD200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple AirPods Max Closed Wireless Headphones,Apple,MGYM3AM,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mad Catz F.R.E.Q. 7 7.1 Channel Closed Gaming Headset,Mad Catz,MCB4340200C2,02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shure SRH840 Headphones,Shure,SRH840-E,SRH840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips SHL5305WT Closed-Back Wired Headphones,Philips,SHL5305WT,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDRZX300IPW Closed-Back White Headphones,Sony,MDRZX300IPW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus TUF GAMING x Demon Slayer L.E. Tanjiro Kamado 7.1 Channel Headset,ASUS,TUF GAMING DSG/US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser PMX 680i Closed Earbud,Sennheiser,PMX 680i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAMDIAS HEBE Closed-Back Headphones,GAMDIAS,GHS2300 3.5mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNY AUD-E-202-WH-A-RB In-Ear Headphones,PNY,AUD-E-202-WH-A-RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-CHX7ISRD Closed Red Earbud With Microphone,Audio-Technica,ATH-CHX7ISRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries Arctis 1 Gaming Headset Closed Black,SteelSeries,Arctis 1 Wireless                                                    61512,61512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final Piano Forte II Closed Earbuds,Final,FI-PF2DBR3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-HJE120-S Closed Earbuds,Panasonic,RP-HJE120-S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony ZX110 (Black) Headset,Sony,MDRZX110/BLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDRAS200B Wired Closed-Back Earbud Headphones,Sony,MDRAS200B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pioneer SE-CLX40-K In-Ear Closed Headphones,Pioneer,SE-CLX40-K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser HD 218 Closed Wired Headphones,Sennheiser,HD218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-TCM125-W Closed In-Ear Headphones,Panasonic,RP-TCM125-W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries Arctis Nova 1P Closed-Back Gaming Headset,SteelSeries,61611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech H150 Closed Headphones,Logitech,981-000349,981-000453,H150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syba CL-AUD63035 Headset,Syba,1988640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries Arctis Nova 7P Wireless Gaming Headset,SteelSeries,61561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser CX890I In-Ear Headset,Sennheiser,CX890I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser MM70S Closed In-Ear With Microphone Headphones,Sennheiser,MM70S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syba OG-AUD63038-2 Closed Headphones,Syba,OG-AUD63038-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DROP Drop + Sennheiser PC38X Headset,DROP,PC38X Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDRE9LP Earbuds Translucent Black,Sony,MDRE9LP,GRAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shure SE535 Earbud,Shure,70700008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser HD 518 Open-Back Headphones,Sennheiser,HD518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fractal Design Scape Closed-Back Headphones,Fractal Design,FD-HS-SCA1-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy S2SBFY-058 In-Ear Closed Headphones with Microphone,Skullcandy,S2SBFY-058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative Labs Zen Hybrid 2 Closed Headphones,CREATIVE,51EF1140AA001,EF1140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries Arctis 7 Headset,SteelSeries,61464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-HSC200-K Closed Earbud Headphones,Panasonic,RP-HSC200-K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koss SB42 Closed-Back Headphones,Koss,SB42,Koss SB42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDREX100APL In-Ear Closed Headphones in Black / Blue,Sony,MDREX100APL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiFiMAN HE300 Closed Wired Headphones,HiFiMAN,HE300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP HyperX Cloud Stinger Core Headset,HyperX,HX-HSCSC2-BK/WW,4P4F4AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCA HP57N Earbuds,RCA,HP57N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsair Virtuoso RGB 7.1 Channel Headset,Corsair,CA-9011186-NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razer Kaira for Xbox Headset,Razer,RZ04-03480200-R3U1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7 HS2000-35-WHT-9NC Wired Closed-Back Headphones,V7,HS2000-35-WHT-9NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech G735 Closed White Gaming Headset,Logitech,981-001082                                                    981-001083,981-001082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser HD 579 Headphones,Sennheiser,HD 579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica SonicFuel CLR100iS Closed In-Ear Headphones With Microphone,Audio-Technica,ATH-CLR100ISBK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser HD 598SR Open-Back Headphones,Sennheiser,HD 598SR,HD 598 SR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turtle Beach EarForce Z2 Closed-Back Gaming Headset,Turtle Beach,TBS-2052-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-DJS400-D Closed Orange / White Headphones,Panasonic,RP-DJS400-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy S6AGDZ-150 Closed Headphones,Skullcandy,S6AGDZ-150,S5PXY-L003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thermaltake eSPORTS DRACCO Captain ,Thermaltake,HT-DRC009ECRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP HyperX Cloud Stinger Core - PS5/PS4 Headset,HyperX,HX-HSCSC-BK,4P5J8AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyber Acoustics AC-648 Closed-Back Headphones,Cyber Acoustics,AC-648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyle Audio PEBH25WT Closed-Back Earbuds,Pyle Audio,PEBH25WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shure SRH1440 Open-Back Wired Headphones,Shure,70700014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPOS H6PRO Closed Green / Gold Headphones,EPOS,1000968,H6 Pro Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries Arctis Nova 1 Closed Gaming Headset,SteelSeries,61606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo 4XD1K18260 Closed-Back Black Headphones,Lenovo,4XD1K18260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPOS H6PRO Closed-Back Headphones,EPOS,1000933,1001165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony CZ-MDRMA300 Closed Headphones,Sony,CZ-MDRMA300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiFiMAN Deva Open-Back Headphones,HiFiMAN,Deva Wired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech H820e Closed Headset in Black / Silver,Logitech,981-000516,981-000511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech G435 Closed-Back Gaming Headset in White / Blue,Logitech,981-001073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TekNmotion TM-AIR100BT Wireless Closed-Back Headphones,TekNmotion,TM-AIR100BT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser CX301 In-Ear Headphones,Sennheiser,CX301,CX 301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser HD700 Headphones,Sennheiser,HD 700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sades A70 7.1 Channel Wired Gaming Headset,Sades,4330975181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsair HS35 v2 Closed Gaming Headset,Corsair,CA-9011383-NA                                                    CA-9011383-EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech 600vi In-Ear Closed Headphones,Ultimate Ears,985-000121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pioneer HDJ500R Closed Headphones,Pioneer,HDJ500R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADATA XPG EMIX H20 7.1 Channel Closed Headphones,ADATA,EMIX H20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy S5URDY-003 Closed-Back Headphones,Skullcandy,S5URDY-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polk UltraFit 2000 Closed-Back Headphones,Polk,AM2100-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha HPH-200BL Closed Headphones,Yamaha,HPH-200 (White),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyerdynamic DT 880 CHROME SPECIAL EDITION Semi-open Headphones,beyerdynamic,717258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bose SIE2i Blue Closed In-Ear Headphones,Bose,SIE2i Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gear Head HQ4750BLU Closed Headphones,Gear Head,8.7826E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SteelSeries Arctis Nova Pro Closed-Back Wireless Gaming Headset for PC, PS5, and PS4 in White / Silver",SteelSeries,61524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative Labs Zen Hybrid 2 Closed Headphones,CREATIVE,51EF1140AA000,EF1140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
